title,rating,rating_counts
#Horror,2.966666666666667,15
(500) Days of Summer,3.5,8
02:13,3.0,3
10 Cloverfield Lane,3.85,10
10 Days in a Madhouse,2.0,3
10 Things I Hate About You,3.5,2
102 Dalmatians,2.8461538461538463,26
10th & Wolf,2.75,2
11:14,3.8333333333333335,3
12 Rounds,4.103448275862069,29
12 Years a Slave,3.8076923076923075,13
127 Hours,3.8181818181818183,11
13 Going on 30,3.6129032258064515,31
13 Hours: The Secret Soldiers of Benghazi,2.2,5
15 Minutes,3.0,1
16 to Life,5.0,1
17 Again,2.5,32
1776,2.7777777777777777,9
1911,2.642857142857143,7
1941,3.1785714285714284,14
1982,3.909090909090909,11
2 Fast 2 Furious,3.5,2
2 Guns,3.625,40
20 Dates,3.142857142857143,7
20 Feet from Stardom,3.3125,8
"20,000 Leagues Under the Sea",2.8461538461538463,26
200 Cigarettes,3.875,4
2001: A Space Odyssey,3.515151515151515,33
2012,3.7563559322033897,236
2016: Obama's America,3.5,3
2046,5.0,1
21,3.611111111111111,9
21 & Over,4.25,2
21 Grams,4.5,2
21 Jump Street,3.9285714285714284,21
22 Jump Street,2.8,25
24 7: Twenty Four Seven,4.4,5
25th Hour,2.5,2
27 Dresses,2.8333333333333335,21
28 Days,1.6,5
28 Days Later,3.1666666666666665,3
28 Weeks Later,3.515151515151515,33
3 Backyards,2.5,2
3 Days to Kill,3.25,6
3 Ninjas Kick Back,3.9696969696969697,33
3 Strikes,3.0476190476190474,21
30 Days of Night,1.3333333333333333,3
30 Minutes or Less,3.2,5
30 Nights of Paranormal Activity With the Devil Inside the Girl With the Dragon Tattoo,3.5,2
300,3.341463414634146,41
3000 Miles to Graceland,3.0,45
300: Rise of an Empire,3.7211538461538463,52
3:10 to Yuma,3.9583333333333335,24
"4 Months, 3 Weeks and 2 Days",2.65625,16
40 Days and 40 Nights,4.0,1
42,3.6176470588235294,17
42nd Street,3.2,5
47 Ronin,3.0980392156862746,51
5 Days of War,4.0,1
50 First Dates,3.5,1
50/50,3.5,9
51 Birch Street,3.75,8
54,4.0,2
55 Days at Peking,2.1666666666666665,9
8 Days,2.8333333333333335,3
8 Heads in a Duffel Bag,3.6666666666666665,12
8 Mile,4.333333333333333,3
8 Women,3.25,2
88 Minutes,3.0714285714285716,7
8: The Mormon Proposition,3.0,5
8MM,3.1666666666666665,15
9,3.6184210526315788,38
90 Minutes in Heaven,3.9523809523809526,21
A Beginner's Guide to Snuff,3.25,2
A Better Life,3.8333333333333335,3
A Bridge Too Far,2.4,5
A Bug's Life,3.0657894736842106,38
A Charlie Brown Christmas,4.0,1
A Christmas Carol,3.116022099447514,181
A Christmas Story,2.0,1
A Cinderella Story,3.6,5
A Civil Action,3.4166666666666665,24
A Cock and Bull Story,3.6363636363636362,33
A Dangerous Method,3.0,1
A Dog Of Flanders,4.5,2
A Dog's Breakfast,3.5,1
A Farewell to Arms,3.1,5
A Few Good Men,4.0,1
A Fine Step,3.3333333333333335,3
A Funny Thing Happened on the Way to the Forum,4.0,2
A Good Day to Die Hard,3.388888888888889,36
A Good Year,3.3448275862068964,29
A Guy Named Joe,3.0,3
A Guy Thing,3.9743589743589745,39
A Hard Day's Night,2.0,5
A Haunted House,4.0,2
A Haunted House 2,3.25,14
A Home at the End of the World,3.75,2
A Knight's Tale,2.5,3
A LEGO Brickumentary,3.111111111111111,9
A League of Their Own,5.0,3
A Lonely Place to Die,2.4166666666666665,12
A Lot Like Love,3.6666666666666665,6
A Low Down Dirty Shame,3.5277777777777777,18
A Madea Christmas,3.8,5
A Man Apart,3.739130434782609,23
A Man for All Seasons,3.0,3
A Mighty Heart,3.0,1
A Mighty Wind,3.1666666666666665,3
A Million Ways to Die in the West,3.7313432835820897,67
A Monster in Paris,3.5,31
A Most Violent Year,3.6666666666666665,12
A Most Wanted Man,3.3444444444444446,45
A Night at the Roxbury,4.0,8
A Nightmare on Elm Street,3.9583333333333335,12
A Nightmare on Elm Street 3: Dream Warriors,3.0454545454545454,11
A Nightmare on Elm Street 4: The Dream Master,3.5833333333333335,24
A Nightmare on Elm Street 5: The Dream Child,3.5,3
A Nightmare on Elm Street Part 2: Freddy's Revenge,3.5,3
A Passage to India,2.8333333333333335,3
A Perfect Getaway,4.0,11
A Prairie Home Companion,3.3636363636363638,22
A Room for Romeo Brass,2.303030303030303,33
A Room with a View,2.5,4
A Scanner Darkly,4.5,1
A Separation,3.3055555555555554,18
A Serious Man,4.214285714285714,7
A Shine of Rainbows,2.875,4
A Simple Plan,2.7,5
A Simple Wish,3.607142857142857,14
A Single Man,2.5,12
A Sound of Thunder,3.392857142857143,14
A Streetcar Named Desire,5.0,1
A Tale of Three Cities,2.4583333333333335,12
A Thin Line Between Love and Hate,3.3333333333333335,3
A Thousand Words,3.9,15
A Time to Kill,2.65625,48
A True Story,2.5,2
A Turtle's Tale: Sammy's Adventures,2.7083333333333335,12
A Very Harold & Kumar Christmas,2.5576923076923075,26
A Very Long Engagement,3.303030303030303,33
A View to a Kill,2.4,5
A Walk Among the Tombstones,3.14,25
A Walk on the Moon,3.4444444444444446,18
A Walk to Remember,4.142857142857143,7
"A Woman, a Gun and a Noodle Shop",3.4285714285714284,7
A.I. Artificial Intelligence,3.3461538461538463,52
ABCD (Any Body Can Dance),5.0,2
ATL,4.3076923076923075,13
AVP: Alien vs. Predator,3.25,28
AWOL-72,3.5,2
Abandon,3.6666666666666665,3
Abandoned,4.666666666666667,3
Abduction,2.875,12
Aberdeen,3.9285714285714284,14
About Last Night,4.029411764705882,17
About Time,3.0,2
Abraham Lincoln: Vampire Hunter,3.433333333333333,60
Absentia,3.8,25
Absolute Power,4.0,2
Accidental Love,3.25,8
Ace Ventura: Pet Detective,2.5,2
Ace Ventura: When Nature Calls,3.9935064935064934,77
Across the Universe,3.0,1
Act of Valor,3.4,5
Action Jackson,3.2857142857142856,7
Adam,4.0,3
Adam Resurrected,1.9666666666666666,15
Adaptation.,3.5,1
Addicted,3.1785714285714284,14
Admission,4.4,5
Adore,4.25,2
Adulterers,4.0,1
Adventureland,3.125,4
After,3.0,1
After Earth,3.8,25
After the Sunset,3.125,20
After.Life,2.3333333333333335,3
Against the Ropes,3.0555555555555554,9
Against the Wild,4.5,3
Agent Cody Banks,3.9074074074074074,27
Agent Cody Banks 2: Destination London,4.048387096774194,31
Agora,4.333333333333333,3
Aimee & Jaguar,3.95,10
Air Bud,3.7,15
Air Force One,4.01063829787234,141
Airborne,3.1,5
Airlift,2.9545454545454546,11
Airplane!,1.0,1
Ajami,3.5,8
Akeelah and the Bee,3.5,3
Akira,4.0,7
Aladdin,3.763157894736842,38
Alatriste,3.0,2
Albert Nobbs,2.5,3
Albino Alligator,2.0,3
Alex & Emma,2.9,5
Alex Cross,3.5,14
Alexander,1.5,1
"Alexander and the Terrible, Horrible, No Good, Very Bad Day",3.75,14
Alexander's Ragtime Band,3.8,5
Alfie,3.875,8
Ali,3.8132530120481927,83
Alice Through the Looking Glass,4.209090909090909,165
Alice in Wonderland,3.4510489510489513,143
Alien,3.625,4
Alien Zone,4.321428571428571,14
Alien: Resurrection,4.285714285714286,42
Aliens,3.0,2
Aliens in the Attic,3.5128205128205128,39
Aliens vs Predator: Requiem,3.7,5
Alien³,4.011494252873563,87
All About Steve,4.338235294117647,34
All About the Benjamins,3.2222222222222223,9
All Good Things,2.46875,32
All Hat,3.75,4
All Is Bright,4.0,3
All Is Lost,3.8333333333333335,3
All Superheroes Must Die,3.5714285714285716,21
All That Jazz,3.3990384615384617,104
All The Queen's Men,3.0,4
All or Nothing,3.0,2
All the Boys Love Mandy Lane,2.8181818181818183,22
All the King's Men,3.8181818181818183,33
All the Pretty Horses,3.5384615384615383,13
All the Real Girls,3.8,5
Allegiant,3.765,100
Alleluia! The Devil's Carnival,4.5,1
Almost Famous,4.0,22
Aloft,2.5,3
Aloha,3.217391304347826,23
Alone With Her,4.0,4
Alone in the Dark,3.6333333333333333,15
Along Came a Spider,3.0,1
Along the Roadside,2.3,5
Alpha and Omega,3.93125,80
Alpha and Omega: The Legend of the Saw Tooth Cave,3.0526315789473686,19
Alvin and the Chipmunks: Chipwrecked,3.752577319587629,97
Alvin and the Chipmunks: The Road Chip,3.9310344827586206,116
Alvin and the Chipmunks: The Squeakquel,3.902173913043478,46
Amadeus,4.0,12
Amen.,4.075,20
America Is Still the Place,3.0,3
America's Sweethearts,3.783333333333333,60
American Beast,3.9,10
American Beauty,3.2142857142857144,7
American Desi,3.75,2
American Dreamz,3.888888888888889,9
American Gangster,3.292372881355932,118
American Graffiti,2.75,2
American Heist,3.4166666666666665,12
American Hero,4.0,2
American History X,2.8125,16
American Hustle,3.6666666666666665,12
American Ninja 2: The Confrontation,2.3529411764705883,17
American Outlaws,4.277777777777778,9
American Pie,3.5833333333333335,6
American Pie 2,3.831081081081081,74
American Psycho,3.611111111111111,18
American Reunion,2.25,22
American Sniper,4.142857142857143,21
American Splendor,1.5,1
Amidst the Devil's Wings,2.1666666666666665,6
Amigo,3.375,4
Amistad,4.166666666666667,12
Amnesiac,3.1,5
Among Giants,2.25,2
Amores perros,2.875,16
Amour,4.045454545454546,11
Amélie,5.0,1
"An Alan Smithee Film: Burn, Hollywood, Burn",3.125,4
An American Carol,3.3333333333333335,6
An American Haunting,3.9166666666666665,12
An American in Hollywood,3.5,1
An Education,3.4444444444444446,9
An Everlasting Piece,3.0,2
An Ideal Husband,2.875,8
An Inconvenient Truth,4.0,2
An Unfinished Life,3.25,2
